Palabra-,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz,,,Donald Trump,James David Vance,Joe Biden,Kamala Harris,Tim Walz
exhaust,2,0,0,0,0,,,,,,,
freezing,2,2,0,1,0,,,,,,,
chilly,2,0,0,0,0,,,,,,,
discredit,2,1,0,2,1,,,,,,,
arrogantly,2,0,0,0,0,,,,,,,
unequal,2,0,0,0,1,,,,,,,
collusion,2,0,0,1,0,,,,,,,
blackmail,2,0,0,4,0,,,,,,,
bump,2,0,0,0,0,,,,,,,
dastardly,2,0,0,0,0,,,,,,,
haunt,2,0,0,0,0,,,,,,,
overdue,2,1,0,1,0,,,,,,,
irrational,2,0,0,0,0,,,,,,,
smelly,2,0,0,0,0,,,,,,,
selfishness,2,0,0,2,0,,,,,,,
mist,2,0,0,0,0,,,,,,,
ordeal,2,0,0,0,0,,,,,,,
lonely,2,0,0,1,0,,,,,,,
mobster,2,0,0,0,0,,,,,,,
scandalous,2,0,0,1,1,,,,,,,
illiterate,2,0,0,3,0,,,,,,,
punk,2,0,0,2,0,,,,,,,
harassed,2,0,0,1,1,,,,,,,
degenerate,2,1,0,2,1,,,,,,,
ripoff,2,0,0,0,0,,,,,,,
deadbeat,2,0,0,0,1,,,,,,,
dubious,2,0,0,0,1,,,,,,,
abominable,2,0,0,0,0,,,,,,,
conspirator,2,0,0,0,1,,,,,,,
disturbed,2,0,0,0,0,,,,,,,
cliche,2,0,0,1,2,,,,,,,
stern,1,0,55,2,0,,,,,,,
complicit,1,0,12,1,0,,,,,,,
disappointed,1,4,11,17,3,,,,,,,
worthless,1,1,10,4,2,,,,,,,
gaffe,1,0,9,1,2,,,,,,,
hostage,1,2,9,9,0,,,,,,,
tyrant,1,0,9,6,1,,,,,,,
treasonous,1,0,9,2,1,,,,,,,
syndrome,1,1,7,3,2,,,,,,,
underestimate,1,1,7,0,5,,,,,,,
wreck,1,1,7,5,1,,,,,,,
foolish,1,4,6,7,2,,,,,,,
fragile,1,1,6,1,0,,,,,,,
resignation,1,0,6,0,0,,,,,,,
stutter,1,1,5,0,2,,,,,,,
disregard,1,1,5,0,3,,,,,,,
shameless,1,0,5,1,1,,,,,,,
stooge,1,0,5,8,2,,,,,,,
lawlessness,1,0,5,2,0,,,,,,,
oppose,1,1,5,3,0,,,,,,,
sin,1,1,5,2,1,,,,,,,
tyranny,1,0,5,2,0,,,,,,,
smoke,1,0,4,2,0,,,,,,,
dragging,1,0,4,1,0,,,,,,,
threaten,1,1,4,1,1,,,,,,,
accuse,1,2,4,1,2,,,,,,,
insanely,1,0,4,1,0,,,,,,,
pointless,1,1,4,1,2,,,,,,,
pitiful,1,0,4,2,1,,,,,,,
scandal,1,0,4,2,1,,,,,,,
messing,1,0,4,1,0,,,,,,,
criticism,1,1,4,0,0,,,,,,,
strict,1,0,4,0,1,,,,,,,
lawless,1,0,4,0,0,,,,,,,
worrying,1,0,4,1,2,,,,,,,
anger,1,3,4,3,4,,,,,,,
inequality,1,0,4,0,0,,,,,,,
flee,1,0,4,0,0,,,,,,,
discrimination,1,3,4,4,0,,,,,,,
abused,1,0,4,2,2,,,,,,,
excessive,1,0,4,2,0,,,,,,,
liability,1,0,4,0,1,,,,,,,
freeze,1,0,4,0,0,,,,,,,
deaf,1,0,4,1,1,,,,,,,
despise,1,0,4,3,1,,,,,,,
complicated,1,0,4,0,0,,,,,,,
offend,1,0,3,0,0,,,,,,,
dumped,1,0,3,2,0,,,,,,,
impaired,1,0,3,2,0,,,,,,,
suffers,1,0,3,0,1,,,,,,,
undecided,1,1,3,6,4,,,,,,,
jam,1,0,3,3,2,,,,,,,
frail,1,0,3,0,0,,,,,,,
chaotic,1,0,3,1,0,,,,,,,
oppression,1,2,3,1,0,,,,,,,
unwanted,1,1,3,0,2,,,,,,,
vicious,1,0,3,2,1,,,,,,,
blasphemous,1,0,3,1,0,,,,,,,
instability,1,0,3,0,2,,,,,,,
unqualified,1,1,3,4,3,,,,,,,
perverted,1,2,3,0,0,,,,,,,
mar,1,1,3,1,1,,,,,,,
incoherent,1,0,3,3,1,,,,,,,
punish,1,0,3,2,1,,,,,,,
displaced,1,1,3,1,2,,,,,,,
baffled,1,0,3,2,0,,,,,,,
refusing,1,1,3,0,0,,,,,,,
stark,1,1,3,2,2,,,,,,,
rot,1,1,3,1,0,,,,,,,
geezer,1,1,3,0,0,,,,,,,
disingenuous,1,2,3,1,2,,,,,,,
oversight,1,0,3,1,0,,,,,,,
hype,1,1,3,3,0,,,,,,,
gossip,1,0,3,2,0,,,,,,,
lier,1,1,3,6,6,,,,,,,
trap,1,3,2,1,5,,,,,,,
panic,1,1,2,2,0,,,,,,,
hopeless,1,0,2,2,0,,,,,,,
urgent,1,1,2,3,1,,,,,,,
trapped,1,1,2,0,1,,,,,,,
complication,1,0,2,0,0,,,,,,,
slowed,1,0,2,0,0,,,,,,,
devoid,1,1,2,1,0,,,,,,,
starve,1,0,2,1,0,,,,,,,
relentless,1,0,2,0,1,,,,,,,
devious,1,0,2,1,0,,,,,,,
outsider,1,0,2,0,1,,,,,,,
lapse,1,0,2,1,0,,,,,,,
travesty,1,0,2,1,0,,,,,,,
spews,1,0,2,2,2,,,,,,,
traitorous,1,0,2,3,0,,,,,,,
crush,1,2,2,4,2,,,,,,,
goof,1,0,2,0,0,,,,,,,
suicide,1,0,2,1,0,,,,,,,
laughingstock,1,0,2,1,0,,,,,,,
hysterical,1,0,2,4,2,,,,,,,
abomination,1,0,2,1,0,,,,,,,
endanger,1,0,2,0,0,,,,,,,
inconsistent,1,0,2,0,1,,,,,,,
impeach,1,1,2,0,0,,,,,,,
sneaky,1,0,2,1,0,,,,,,,
wrongly,1,0,2,0,0,,,,,,,
grief,1,0,2,0,1,,,,,,,
decrepit,1,0,2,0,0,,,,,,,
virus,1,0,2,6,4,,,,,,,
depressing,1,0,2,1,0,,,,,,,
disruption,1,0,2,0,0,,,,,,,
mockery,1,0,2,0,0,,,,,,,
goon,1,0,2,1,2,,,,,,,
egotistical,1,0,2,0,0,,,,,,,
biting,1,0,2,0,0,,,,,,,
pandering,1,0,2,9,3,,,,,,,
knock,1,2,2,3,2,,,,,,,
provoke,1,0,2,0,0,,,,,,,
demise,1,0,2,2,0,,,,,,,
rail,1,0,2,1,0,,,,,,,
invalid,1,0,2,1,0,,,,,,,
bum,1,0,2,0,2,,,,,,,
blather,1,0,2,0,1,,,,,,,
vulnerable,1,1,2,2,0,,,,,,,
deter,1,0,2,0,1,,,,,,,
menace,1,3,2,1,0,,,,,,,
superficial,1,0,2,1,3,,,,,,,
sarcasm,1,0,2,0,3,,,,,,,
impunity,1,0,2,0,0,,,,,,,
demeaning,1,0,2,0,2,,,,,,,
disagreement,1,2,2,1,0,,,,,,,
poorer,1,1,2,2,0,,,,,,,
offender,1,3,2,2,0,,,,,,,
doddering,1,0,2,0,0,,,,,,,
brutally,1,0,2,0,0,,,,,,,
bloody,1,1,2,2,2,,,,,,,
oblivious,1,0,2,1,0,,,,,,,
impediment,1,0,2,0,0,,,,,,,
harsh,1,1,2,1,1,,,,,,,
deceiving,1,0,2,2,1,,,,,,,
irresponsible,1,2,2,0,0,,,,,,,
blatantly,1,1,2,2,2,,,,,,,
rejected,1,1,2,1,1,,,,,,,
heinous,1,0,1,1,0,,,,,,,
atrocity,1,0,1,1,1,,,,,,,
peril,1,0,1,0,1,,,,,,,
pathetically,1,0,1,0,0,,,,,,,
overlook,1,0,1,1,1,,,,,,,
savage,1,0,1,1,2,,,,,,,
anxious,1,0,1,0,0,,,,,,,
coercion,1,0,1,1,0,,,,,,,
alarming,1,0,1,3,0,,,,,,,
awkward,1,5,1,5,3,,,,,,,
burden,1,0,1,5,1,,,,,,,
hysteria,1,0,1,0,0,,,,,,,
outbreak,1,0,1,0,2,,,,,,,
boiling,1,0,1,0,1,,,,,,,
defensive,1,1,1,0,0,,,,,,,
gangster,1,2,1,0,2,,,,,,,
myth,1,0,1,0,0,,,,,,,
scoundrel,1,0,1,0,0,,,,,,,
fictional,1,0,1,0,0,,,,,,,
uglier,1,0,1,0,0,,,,,,,
accusing,1,0,1,1,1,,,,,,,
defect,1,0,1,0,0,,,,,,,
isolation,1,0,1,0,0,,,,,,,
carnage,1,0,1,0,0,,,,,,,
spoil,1,1,1,0,0,,,,,,,
flawed,1,0,1,2,0,,,,,,,
repulsive,1,0,1,0,2,,,,,,,
compulsive,1,0,1,1,3,,,,,,,
disgraced,1,0,1,0,0,,,,,,,
denies,1,0,1,0,0,,,,,,,
poorly,1,0,1,4,1,,,,,,,
crashing,1,1,1,0,0,,,,,,,
sinking,1,0,1,1,3,,,,,,,
humiliate,1,0,1,0,2,,,,,,,
bumped,1,0,1,0,0,,,,,,,
disgracefully,1,0,1,0,0,,,,,,,
torturing,1,0,1,0,0,,,,,,,
imprisonment,1,0,1,1,0,,,,,,,
traumatic,1,0,1,0,0,,,,,,,
wobble,1,0,1,0,0,,,,,,,
confusing,1,0,1,1,1,,,,,,,
obstruction,1,0,1,1,0,,,,,,,
intimidation,1,0,1,0,0,,,,,,,
disadvantage,1,0,1,0,1,,,,,,,
hung,1,3,1,1,0,,,,,,,
inexcusable,1,0,1,0,1,,,,,,,
insignificant,1,0,1,1,0,,,,,,,
frustrating,1,0,1,1,0,,,,,,,
sting,1,0,1,0,1,,,,,,,
trivial,1,0,1,0,1,,,,,,,
sly,1,0,1,1,1,,,,,,,
blasted,1,0,1,0,0,,,,,,,
dismay,1,0,1,1,0,,,,,,,
intimidating,1,0,1,0,0,,,,,,,
devastating,1,1,1,3,1,,,,,,,
draining,1,1,1,0,0,,,,,,,
impose,1,1,1,1,1,,,,,,,
destroyer,1,1,1,1,0,,,,,,,
flagrantly,1,0,1,0,0,,,,,,,
deterrent,1,0,1,0,0,,,,,,,
boil,1,1,1,0,0,,,,,,,
plot,1,4,1,2,0,,,,,,,
brazen,1,0,1,0,0,,,,,,,
hostile,1,3,1,0,0,,,,,,,
abnormal,1,0,1,0,3,,,,,,,
fierce,1,3,1,2,0,,,,,,,
drowning,1,0,1,0,0,,,,,,,
desperation,1,1,1,6,0,,,,,,,
confess,1,2,1,0,0,,,,,,,
furious,1,1,1,0,0,,,,,,,
dripping,1,0,1,0,0,,,,,,,
maniac,1,0,1,1,0,,,,,,,
babble,1,0,1,0,0,,,,,,,
shriek,1,0,1,0,0,,,,,,,
lurking,1,0,1,0,0,,,,,,,
rift,1,0,1,0,0,,,,,,,
inappropriate,1,3,1,1,3,,,,,,,
defiant,1,0,1,0,0,,,,,,,
disloyal,1,0,1,0,0,,,,,,,
raging,1,0,1,0,1,,,,,,,
snarky,1,0,1,0,0,,,,,,,
suppress,1,0,1,1,1,,,,,,,
ailment,1,0,1,0,0,,,,,,,
hazardous,1,0,1,0,0,,,,,,,
worn,1,0,1,1,0,,,,,,,
complacent,1,2,1,0,1,,,,,,,
ironically,1,1,1,1,1,,,,,,,
erase,1,0,1,2,1,,,,,,,
untrue,1,1,1,0,0,,,,,,,
dumping,1,0,1,1,0,,,,,,,
absence,1,0,1,1,0,,,,,,,
clumsy,1,0,1,0,0,,,,,,,
treachery,1,0,1,0,0,,,,,,,
mislead,1,1,1,1,0,,,,,,,
cave,1,0,1,0,0,,,,,,,
deceiver,1,1,1,2,0,,,,,,,
hardship,1,0,1,4,6,,,,,,,
indoctrination,1,0,1,0,0,,,,,,,
barbaric,1,0,1,0,0,,,,,,,
condemnation,1,0,1,1,0,,,,,,,
friggin,1,0,1,0,0,,,,,,,
ineptitude,1,0,1,0,0,,,,,,,
obsolete,1,1,1,0,1,,,,,,,
restrict,1,0,1,0,0,,,,,,,
damning,1,1,1,0,0,,,,,,,
harmful,1,0,1,1,0,,,,,,,
distortion,1,0,1,0,0,,,,,,,
repetitive,1,0,1,0,0,,,,,,,
heartbreaking,1,0,1,1,0,,,,,,,
cancerous,1,0,0,0,0,,,,,,,
degeneration,1,0,0,0,0,,,,,,,
bitter,1,1,0,2,1,,,,,,,
obscenity,1,0,0,0,1,,,,,,,
militancy,1,0,0,0,0,,,,,,,
regretted,1,0,0,0,0,,,,,,,
insecurity,1,0,0,2,0,,,,,,,
frantically,1,0,0,0,0,,,,,,,
devastation,1,0,0,0,0,,,,,,,
demean,1,0,0,2,0,,,,,,,
discriminatory,1,1,0,0,0,,,,,,,
topple,1,0,0,0,0,,,,,,,
messy,1,0,0,0,3,,,,,,,
disagrees,1,2,0,0,1,,,,,,,
pry,1,0,0,0,0,,,,,,,
intolerance,1,1,0,1,1,,,,,,,
sneak,1,0,0,1,1,,,,,,,
atrocious,1,2,0,0,2,,,,,,,
scarcity,1,0,0,0,0,,,,,,,
dissonance,1,0,0,0,0,,,,,,,
impoverish,1,0,0,0,0,,,,,,,
tamper,1,0,0,0,0,,,,,,,
gaff,1,0,0,1,0,,,,,,,
hoodwink,1,0,0,0,0,,,,,,,
predatory,1,0,0,0,0,,,,,,,
riled,1,0,0,0,1,,,,,,,
futile,1,0,0,0,0,,,,,,,
crippled,1,0,0,2,0,,,,,,,
devastated,1,0,0,0,2,,,,,,,
cramp,1,0,0,0,0,,,,,,,
unnatural,1,1,0,0,0,,,,,,,
despicably,1,0,0,0,0,,,,,,,
disheartening,1,0,0,1,0,,,,,,,
exploitation,1,0,0,1,1,,,,,,,
dissing,1,0,0,1,0,,,,,,,
cartoonish,1,0,0,0,0,,,,,,,
condemns,1,0,0,0,0,,,,,,,
faze,1,0,0,0,0,,,,,,,
servitude,1,0,0,1,0,,,,,,,
notorious,1,0,0,1,0,,,,,,,
contemptible,1,0,0,0,0,,,,,,,
obnoxious,1,0,0,0,0,,,,,,,
snobbish,1,0,0,0,0,,,,,,,
opinionated,1,0,0,1,0,,,,,,,
inadequate,1,0,0,0,0,,,,,,,
monotonous,1,0,0,0,0,,,,,,,
overwhelmingly,1,0,0,0,1,,,,,,,
livid,1,0,0,0,0,,,,,,,
felonious,1,0,0,0,0,,,,,,,
bothering,1,1,0,1,0,,,,,,,
wildly,1,0,0,1,0,,,,,,,
grim,1,0,0,1,0,,,,,,,
fidget,1,0,0,0,0,,,,,,,
naughty,1,0,0,0,0,,,,,,,
disinterested,1,0,0,0,0,,,,,,,
accidental,1,0,0,0,0,,,,,,,
aggressor,1,0,0,0,0,,,,,,,
craziness,1,0,0,1,0,,,,,,,
skinny,1,0,0,0,0,,,,,,,
unattractive,1,1,0,0,0,,,,,,,
betrays,1,0,0,0,0,,,,,,,
convoluted,1,0,0,0,0,,,,,,,
faulty,1,0,0,1,0,,,,,,,
chore,1,0,0,0,0,,,,,,,
defiantly,1,0,0,1,0,,,,,,,
confined,1,0,0,0,0,,,,,,,
malign,1,0,0,0,0,,,,,,,
moody,1,0,0,0,0,,,,,,,
conceded,1,1,0,0,0,,,,,,,
apologist,1,0,0,0,0,,,,,,,
equivocal,1,0,0,0,0,,,,,,,
relentlessly,1,0,0,1,1,,,,,,,
undue,1,0,0,0,0,,,,,,,
hegemonism,1,0,0,0,0,,,,,,,
inaccurate,1,0,0,1,0,,,,,,,
hideous,1,0,0,0,0,,,,,,,
inhumane,1,1,0,0,0,,,,,,,
barren,1,0,0,0,0,,,,,,,
obtuse,1,0,0,0,0,,,,,,,
affliction,1,0,0,0,0,,,,,,,
weed,1,0,0,1,0,,,,,,,
grumpy,1,0,0,0,1,,,,,,,
negate,1,0,0,0,0,,,,,,,
brutalize,1,0,0,0,0,,,,,,,
musty,1,0,0,0,0,,,,,,,
fearful,1,0,0,1,0,,,,,,,
strictly,1,2,0,0,0,,,,,,,
erroneously,1,0,0,0,0,,,,,,,
subvert,1,0,0,0,0,,,,,,,
jeopardy,1,0,0,0,1,,,,,,,
weaken,1,0,0,0,1,,,,,,,
severity,1,0,0,0,0,,,,,,,
squeaky,1,1,0,0,0,,,,,,,
impotent,1,1,0,0,0,,,,,,,
refusal,1,1,0,1,0,,,,,,,
fever,1,0,0,0,0,,,,,,,
sweaty,1,0,0,0,0,,,,,,,
appalled,1,0,0,0,1,,,,,,,
unwarranted,1,0,0,0,0,,,,,,,
stubborn,1,0,0,0,0,,,,,,,
frighten,1,1,0,1,0,,,,,,,
illogical,1,0,0,1,0,,,,,,,
tension,1,0,0,0,1,,,,,,,
perversion,1,0,0,1,1,,,,,,,
subjugation,1,0,0,0,0,,,,,,,
disillusioned,1,1,0,0,0,,,,,,,
tricked,1,0,0,0,0,,,,,,,
detrimental,1,0,0,1,1,,,,,,,
predicament,1,0,0,0,0,,,,,,,
crude,1,1,0,2,1,,,,,,,
controversial,1,0,0,1,1,,,,,,,
fanaticism,1,0,0,0,0,,,,,,,
insufficiently,1,0,0,0,0,,,,,,,
dwindling,1,0,0,0,0,,,,,,,
horde,1,1,0,0,0,,,,,,,
qualm,1,0,0,0,0,,,,,,,
warped,1,1,0,0,0,,,,,,,
downgrade,1,0,0,0,0,,,,,,,
blabber,1,0,0,1,0,,,,,,,
blab,1,0,0,0,0,,,,,,,
annihilation,1,0,0,0,0,,,,,,,
disapproval,1,0,0,0,0,,,,,,,
negligent,1,0,0,0,0,,,,,,,
undone,1,0,0,0,0,,,,,,,
miscreant,1,0,0,0,0,,,,,,,
spitefulness,1,0,0,0,0,,,,,,,
inconceivable,1,0,0,0,0,,,,,,,
grudge,1,2,0,0,0,,,,,,,
underdog,1,1,0,0,0,,,,,,,
repressive,1,0,0,0,0,,,,,,,
startling,1,0,0,0,0,,,,,,,
problematic,1,0,0,0,0,,,,,,,
fleeting,1,0,0,0,0,,,,,,,
expire,1,0,0,0,0,,,,,,,
boredom,1,0,0,0,0,,,,,,,
apocalypse,1,0,0,0,1,,,,,,,
unlikely,1,0,0,2,0,,,,,,,
revoke,1,0,0,1,0,,,,,,,
fatty,1,0,0,0,0,,,,,,,
impatient,1,0,0,0,0,,,,,,,
insecure,1,0,0,0,0,,,,,,,
lemon,1,1,0,1,0,,,,,,,
shunned,1,0,0,0,0,,,,,,,
unmoved,1,0,0,1,0,,,,,,,
disservice,1,0,0,1,1,,,,,,,
disgustingly,1,0,0,0,0,,,,,,,
foolishly,1,0,0,1,0,,,,,,,
leech,1,0,0,1,0,,,,,,,
fury,1,0,0,0,0,,,,,,,
foe,1,2,0,1,0,,,,,,,
corrosive,1,0,0,0,0,,,,,,,
detriment,1,0,0,0,0,,,,,,,
squirm,1,0,0,0,0,,,,,,,
temptation,1,0,0,1,0,,,,,,,
misinformed,1,1,0,4,0,,,,,,,
disagreeing,1,2,0,1,0,,,,,,,
repugnant,1,0,0,0,0,,,,,,,
awfulness,1,0,0,0,0,,,,,,,
shockingly,1,0,0,0,0,,,,,,,
disbelief,1,1,0,1,0,,,,,,,
encroach,1,0,0,0,0,,,,,,,
yawn,1,0,0,0,0,,,,,,,
noisy,1,0,0,0,0,,,,,,,
mistress,1,1,0,1,1,,,,,,,
trashy,1,0,0,3,0,,,,,,,
undermines,1,0,0,1,1,,,,,,,
evasion,1,0,0,0,0,,,,,,,
floored,1,0,0,0,0,,,,,,,
unjust,1,0,0,0,0,,,,,,,
instigate,1,0,0,0,0,,,,,,,
dishonorable,1,0,0,0,0,,,,,,,
unworthy,1,0,0,0,1,,,,,,,
haggard,1,0,0,0,0,,,,,,,
restless,1,0,0,0,0,,,,,,,
accuses,1,0,0,1,1,,,,,,,
scolding,1,0,0,0,0,,,,,,,
irresponsibly,1,0,0,0,0,,,,,,,
junk,1,0,0,2,1,,,,,,,
flaw,1,0,0,0,3,,,,,,,
wimpy,1,0,0,0,1,,,,,,,
gloom,1,1,0,1,1,,,,,,,
skeptical,1,3,0,0,0,,,,,,,
frown,1,0,0,0,0,,,,,,,
infringe,1,0,0,0,1,,,,,,,
selfishly,1,0,0,1,0,,,,,,,
evasive,1,0,0,1,0,,,,,,,
stingy,1,0,0,0,0,,,,,,,
vague,1,1,0,4,0,,,,,,,
incomprehensible,1,2,0,0,0,,,,,,,
static,1,0,0,0,0,,,,,,,
fanatical,1,0,0,0,0,,,,,,,
futility,1,0,0,0,0,,,,,,,
deceptive,1,0,0,3,1,,,,,,,
skepticism,1,0,0,0,0,,,,,,,
randomly,1,0,0,1,0,,,,,,,
scapegoat,1,0,0,1,1,,,,,,,
confound,1,0,0,0,0,,,,,,,
premeditated,1,0,0,0,0,,,,,,,
satirical,1,0,0,0,0,,,,,,,
unfavorable,1,0,0,0,1,,,,,,,
worsen,1,0,0,0,2,,,,,,,
disappoints,1,0,0,0,0,,,,,,,
unemployed,1,1,0,0,0,,,,,,,
unlucky,1,0,0,0,0,,,,,,,
hollow,1,1,0,2,0,,,,,,,
incitement,1,0,0,0,0,,,,,,,
malice,1,0,0,0,0,,,,,,,
despair,1,0,0,0,0,,,,,,,
ruthlessness,1,0,0,0,0,,,,,,,
bleeds,1,0,0,1,0,,,,,,,
cuss,1,0,0,1,1,,,,,,,
extortion,1,0,0,0,1,,,,,,,
itch,1,1,0,0,0,,,,,,,
concession,1,0,0,0,0,,,,,,,
craven,1,1,0,0,0,,,,,,,
foul,1,0,0,4,0,,,,,,,
anxiety,1,2,0,0,2,,,,,,,
havoc,1,0,0,0,1,,,,,,,
contradiction,1,0,0,0,0,,,,,,,
inaccuracy,1,0,0,0,0,,,,,,,
parasite,1,2,0,1,1,,,,,,,
quack,1,0,0,0,0,,,,,,,
peculiar,1,0,0,1,0,,,,,,,
baffling,1,0,0,1,0,,,,,,,
unreasonably,1,0,0,0,0,,,,,,,
unclear,1,1,0,0,0,,,,,,,
impolite,1,0,0,0,0,,,,,,,
aggressiveness,1,0,0,0,0,,,,,,,
grieving,1,0,0,0,0,,,,,,,
exaggerate,1,0,0,0,0,,,,,,,
conspicuous,1,0,0,0,0,,,,,,,
indifferent,1,0,0,0,0,,,,,,,
grimace,1,0,0,0,0,,,,,,,
inflammatory,1,0,0,0,1,,,,,,,
sob,1,1,0,0,2,,,,,,,
controversy,1,1,0,1,0,,,,,,,
scratched,1,0,0,0,0,,,,,,,
unravel,1,0,0,1,0,,,,,,,
implicate,1,0,0,0,0,,,,,,,
retreated,1,0,0,0,0,,,,,,,
shamelessly,1,1,0,0,2,,,,,,,
horrifying,1,0,0,3,1,,,,,,,
estranged,1,0,0,0,0,,,,,,,
discord,1,0,0,0,0,,,,,,,
sorrow,1,0,0,0,1,,,,,,,
concede,1,1,0,2,0,,,,,,,
punishable,1,0,0,0,0,,,,,,,
plague,1,0,0,1,0,,,,,,,
unsuspecting,1,0,0,0,0,,,,,,,
drab,1,0,0,0,0,,,,,,,
shabby,1,0,0,0,0,,,,,,,
uneasy,1,0,0,0,0,,,,,,,
contaminated,1,1,0,0,0,,,,,,,
subdued,1,0,0,0,0,,,,,,,
poverty,0,6,9,6,6,,,,,,,
cannibal,0,0,9,0,0,,,,,,,
scum,0,3,7,1,1,,,,,,,
imbecile,0,1,7,0,1,,,,,,,
curse,0,1,7,2,3,,,,,,,
laughable,0,4,6,4,2,,,,,,,
recession,0,1,6,0,4,,,,,,,
sink,0,1,6,2,0,,,,,,,
horrific,0,1,6,1,1,,,,,,,
struck,0,0,6,5,2,,,,,,,
gibberish,0,0,6,1,1,,,,,,,
arrogance,0,0,6,2,0,,,,,,,
vain,0,0,6,2,1,,,,,,,
unfortunate,0,1,5,1,0,,,,,,,
brutal,0,1,5,3,2,,,,,,,
feeble,0,0,5,4,2,,,,,,,
revenge,0,0,5,2,2,,,,,,,
criticizing,0,0,5,4,3,,,,,,,
slaughter,0,0,5,0,0,,,,,,,
blunder,0,0,5,0,2,,,,,,,
regret,0,2,4,4,1,,,,,,,
desert,0,1,4,1,0,,,,,,,
pervert,0,1,4,2,3,,,,,,,
cackle,0,1,4,9,4,,,,,,,
stuttering,0,0,4,0,0,,,,,,,
turmoil,0,0,4,0,1,,,,,,,
ding,0,0,4,0,0,,,,,,,
disappointment,0,2,3,6,0,,,,,,,
degrade,0,1,3,2,2,,,,,,,
hegemony,0,1,3,0,0,,,,,,,
backward,0,1,3,2,0,,,,,,,
inevitable,0,1,3,0,0,,,,,,,
distress,0,1,3,0,2,,,,,,,
upsetting,0,1,3,0,0,,,,,,,
idiocy,0,1,3,1,0,,,,,,,
embarrass,0,0,3,2,3,,,,,,,
terribly,0,0,3,0,1,,,,,,,
wrinkle,0,0,3,1,0,,,,,,,
scariest,0,0,3,1,0,,,,,,,
disliked,0,0,3,0,0,,,,,,,
rocky,0,0,3,0,0,,,,,,,
forgetful,0,0,3,0,0,,,,,,,
cocky,0,0,3,0,0,,,,,,,
wack,0,0,3,4,0,,,,,,,
deteriorating,0,0,3,0,0,,,,,,,
stressful,0,0,3,0,0,,,,,,,
powerless,0,0,3,0,0,,,,,,,
disturb,0,0,3,0,0,,,,,,,
stress,0,0,3,1,2,,,,,,,
isolated,0,0,3,0,1,,,,,,,
retarded,0,0,3,0,0,,,,,,,
scrambling,0,0,3,0,0,,,,,,,
twist,0,3,2,3,1,,,,,,,
difficulty,0,2,2,2,2,,,,,,,
disobedience,0,2,2,0,0,,,,,,,
distract,0,2,2,2,2,,,,,,,
shortage,0,1,2,0,5,,,,,,,
slaughtered,0,1,2,0,0,,,,,,,
smug,0,1,2,1,1,,,,,,,
anarchy,0,1,2,1,1,,,,,,,
depraved,0,1,2,1,0,,,,,,,
toll,0,1,2,1,1,,,,,,,
hassle,0,1,2,1,0,,,,,,,
forfeit,0,1,2,0,0,,,,,,,
bug,0,1,2,0,0,,,,,,,
sarcastic,0,1,2,2,1,,,,,,,
bust,0,1,2,1,0,,,,,,,
careless,0,1,2,1,0,,,,,,,
spewed,0,1,2,3,1,,,,,,,
douchebag,0,1,2,0,0,,,,,,,
fumble,0,0,2,1,0,,,,,,,
filth,0,0,2,3,0,,,,,,,
sucked,0,0,2,2,1,,,,,,,
sleazy,0,0,2,1,1,,,,,,,
dazed,0,0,2,0,0,,,,,,,
figurehead,0,0,2,2,0,,,,,,,
plagiarize,0,0,2,0,0,,,,,,,
battered,0,0,2,0,0,,,,,,,
unsettling,0,0,2,1,1,,,,,,,
excessively,0,0,2,0,0,,,,,,,
nefarious,0,0,2,1,0,,,,,,,
obliterate,0,0,2,0,0,,,,,,,
perilous,0,0,2,0,0,,,,,,,
unacceptable,0,0,2,2,4,,,,,,,
furiously,0,0,2,0,0,,,,,,,
unsuccessful,0,0,2,0,0,,,,,,,
prejudice,0,0,2,0,1,,,,,,,
invader,0,0,2,1,0,,,,,,,
painfully,0,0,2,0,0,,,,,,,
counterproductive,0,0,2,0,0,,,,,,,
dull,0,0,2,2,1,,,,,,,
stammer,0,0,2,0,0,,,,,,,
layoff,0,0,2,1,0,,,,,,,
unleash,0,0,2,0,0,,,,,,,
degrading,0,0,2,0,1,,,,,,,
murderous,0,0,2,0,1,,,,,,,
massacre,0,0,2,0,3,,,,,,,
spew,0,0,2,1,3,,,,,,,
pan,0,0,2,2,0,,,,,,,
unthinkable,0,0,2,0,0,,,,,,,
obese,0,0,2,0,0,,,,,,,
stain,0,0,2,1,0,,,,,,,
unpredictable,0,0,2,0,0,,,,,,,
damaging,0,0,2,1,1,,,,,,,
misunderstood,0,0,2,0,0,,,,,,,
dehumanization,0,0,2,0,0,,,,,,,
despised,0,0,2,0,1,,,,,,,
fried,0,0,2,0,1,,,,,,,
crashed,0,0,2,2,0,,,,,,,
senseless,0,0,2,3,0,,,,,,,
reluctantly,0,0,2,0,3,,,,,,,
reluctant,0,0,2,0,0,,,,,,,
ineligible,0,0,2,0,0,,,,,,,
unrealistic,0,0,2,0,1,,,,,,,
bombard,0,0,2,0,0,,,,,,,
unintelligible,0,0,2,1,0,,,,,,,
bonkers,0,0,2,0,0,,,,,,,
smash,0,0,2,1,0,,,,,,,
tangled,0,0,2,0,0,,,,,,,
antagonist,0,0,2,0,0,,,,,,,
stiff,0,0,2,0,0,,,,,,,
fanatic,0,0,2,0,0,,,,,,,
