Palabra,Donald Trump.csv,,James David Vance.csv,,Joe Biden.csv,,Kamala Harris.csv,,Tim Walz.csv,Sentimiento
proving,3,,0,,1,,0,,1,Positiva
reversed,3,,0,,4,,0,,0,0
mount,3,,2,,2,,0,,0,0
kidding,3,,1,,9,,5,,0,0
savior,3,,2,,4,,0,,0,0
encourage,3,,0,,1,,8,,1,Positiva
permission,3,,0,,1,,1,,3,Neutral
fd,3,,0,,2,,0,,0,0
condemn,3,,1,,5,,0,,1,Negativa
honesty,3,,5,,8,,4,,3,Positiva
program,3,,6,,11,,13,,13,Neutral
treon,3,,0,,0,,0,,0,0
breathe,3,,0,,1,,0,,3,Neutral
craving,3,,0,,0,,0,,0,0
addicted,3,,1,,3,,0,,1,Negativa
reminds,3,,2,,11,,8,,5,Neutral
chris,3,,3,,0,,1,,5,Neutral
particularly,3,,0,,2,,1,,1,Neutral
alcohol,3,,0,,0,,0,,1,Neutral
phenomenal,3,,2,,1,,0,,0,0
coping,3,,0,,0,,0,,1,Neutral
mechanism,3,,0,,2,,0,,0,0
skit,3,,0,,6,,14,,1,Neutral
mode,3,,0,,3,,0,,0,0
sugar,3,,0,,1,,3,,1,Neutral
funniest,3,,2,,4,,6,,0,0
slightest,3,,0,,1,,2,,0,0
tomader,3,,0,,0,,0,,0,0
er,3,,1,,0,,1,,0,0
joker,3,,2,,5,,2,,2,Negativa
yunus,3,,0,,0,,0,,0,0
islamic,3,,0,,3,,1,,2,Neutral
accepting,3,,0,,6,,1,,3,Neutral
graham,3,,1,,1,,0,,2,Neutral
creature,3,,6,,1,,1,,1,Neutral
denial,3,,0,,3,,2,,1,Negativa
radical,3,,5,,15,,7,,8,Negativa
scotland,3,,0,,5,,3,,1,Neutral
genuine,3,,2,,4,,18,,13,Positiva
western,3,,1,,18,,3,,3,Neutral
labour,3,,2,,1,,1,,0,0
victory,3,,1,,18,,11,,4,Positiva
nervous,3,,1,,2,,29,,2,Negativa
cackling,3,,0,,10,,4,,2,Neutral
ramp,3,,0,,2,,0,,0,0
smooth,3,,2,,3,,0,,2,Positiva
accord,3,,1,,0,,2,,0,0
dave,3,,0,,1,,1,,0,0
aggressive,3,,2,,3,,1,,0,0
jerk,3,,0,,6,,3,,3,Negativa
investment,3,,0,,6,,1,,2,Neutral
disgusted,3,,0,,4,,2,,2,Negativa
veteran,3,,11,,12,,9,,9,Neutral
culture,3,,5,,6,,27,,3,Neutral
appropriate,3,,0,,2,,3,,1,Positiva
imo,3,,3,,5,,2,,1,Neutral
beta,3,,1,,0,,2,,2,Neutral
boot,3,,6,,6,,2,,2,Neutral
meat,3,,0,,7,,1,,5,Neutral
emotional,3,,3,,7,,5,,4,Neutral
appalling,3,,0,,3,,1,,0,0
golden,3,,0,,4,,6,,1,Positiva
globe,3,,0,,4,,0,,3,Neutral
participate,3,,1,,1,,0,,0,0
downhill,3,,0,,3,,0,,0,0
deplorable,3,,2,,2,,3,,4,Negativa
avenue,3,,1,,2,,0,,0,0
horrendous,3,,4,,5,,0,,3,Negativa
karma,3,,0,,3,,3,,1,Neutral
harriswalz,3,,1,,0,,52,,50,Neutral
represented,3,,1,,1,,2,,1,Neutral
advise,3,,1,,2,,3,,0,0
basis,3,,1,,1,,2,,1,Neutral
wool,3,,1,,0,,1,,0,0
corporate,3,,8,,9,,7,,4,Neutral
fixing,3,,1,,8,,3,,5,Neutral
catholic,3,,2,,8,,9,,1,Neutral
stomach,3,,2,,2,,0,,2,Neutral
shout,3,,1,,3,,7,,1,Neutral
forcing,3,,1,,3,,0,,0,0
backdealing,3,,0,,0,,0,,0,0
sale,3,,3,,6,,1,,1,Neutral
dealing,3,,0,,8,,1,,3,Neutral
finish,3,,4,,38,,7,,3,Neutral
attending,3,,0,,0,,1,,0,0
knocking,3,,0,,0,,0,,4,Neutral
irrelevant,3,,2,,5,,4,,2,Negativa
soft,3,,0,,6,,2,,1,Positiva
allentown,3,,0,,0,,1,,0,0
excited,3,,4,,11,,11,,8,Positiva
towel,3,,0,,1,,1,,0,0
nail,3,,0,,4,,7,,4,Neutral
row,3,,0,,3,,2,,2,Neutral
tone,3,,4,,8,,3,,2,Neutral
blowout,3,,0,,0,,0,,0,0
betting,3,,2,,1,,3,,0,0
grant,3,,2,,1,,3,,2,Neutral
coin,3,,0,,1,,3,,0,0
regulate,3,,2,,2,,0,,0,0
exchange,3,,2,,4,,3,,4,Neutral
significant,3,,1,,11,,1,,1,Positiva
mine,3,,0,,7,,9,,4,Neutral
natural,3,,2,,7,,12,,8,Neutral
purchasing,3,,1,,3,,0,,0,0
earned,3,,0,,8,,7,,4,Neutral
designed,3,,0,,3,,3,,0,0
resemblance,3,,0,,0,,1,,0,0
central,3,,2,,4,,1,,0,0
complex,3,,7,,15,,4,,3,Negativa
expansion,3,,0,,1,,0,,2,Neutral
instance,3,,0,,4,,2,,1,Neutral
thin,3,,0,,1,,1,,0,0
exists,3,,0,,0,,2,,2,Neutral
silence,3,,0,,11,,4,,1,Neutral
merely,3,,0,,1,,1,,1,Neutral
extend,3,,0,,2,,2,,0,0
mismanagement,3,,0,,0,,1,,1,Neutral
gap,3,,2,,0,,0,,0,0
ultimately,3,,0,,5,,2,,0,0
chill,3,,0,,2,,3,,1,Negativa
aim,3,,0,,0,,1,,0,0
reached,3,,0,,2,,5,,1,Neutral
outta,3,,0,,5,,3,,1,Neutral
successfully,3,,2,,2,,3,,0,0
midterm,3,,0,,2,,0,,0,0
poised,3,,0,,0,,4,,1,Positiva
winner,3,,4,,1,,7,,4,Positiva
snake,3,,4,,13,,2,,1,Neutral
gate,3,,7,,4,,7,,5,Neutral
monopoly,3,,1,,0,,0,,0,0
sweetheart,3,,1,,0,,0,,0,0
reagan,3,,0,,11,,1,,2,Neutral
influencing,3,,1,,1,,2,,0,0
profit,3,,3,,11,,1,,1,Neutral
magic,3,,0,,5,,1,,1,Positiva
snowflake,3,,1,,3,,0,,0,0
wore,3,,1,,4,,2,,2,Neutral
delaware,3,,0,,4,,0,,2,Neutral
hmmmm,3,,0,,4,,1,,0,0
random,3,,0,,4,,4,,2,Neutral
sponsored,3,,0,,2,,0,,1,Neutral
employed,3,,0,,0,,0,,0,0
roe,3,,0,,17,,3,,5,Neutral
frightening,3,,3,,3,,2,,0,0
caring,3,,2,,12,,5,,3,Neutral
accessible,3,,1,,0,,0,,3,Positiva
tantrum,3,,0,,0,,0,,0,0
protector,3,,0,,0,,0,,1,Neutral
em,3,,1,,9,,6,,3,Neutral
reminder,3,,0,,2,,3,,0,0
niece,3,,0,,1,,4,,0,0
dragged,3,,1,,4,,4,,2,Negativa
scare,3,,3,,7,,1,,1,Negativa
loathe,3,,0,,0,,0,,0,0
deadly,3,,1,,2,,0,,0,0
rude,3,,7,,5,,3,,0,0
kindly,3,,0,,3,,0,,0,0
negotiation,3,,0,,2,,1,,1,Neutral
aimed,3,,0,,1,,0,,1,Neutral
illusion,3,,0,,2,,0,,0,0
entertaining,3,,0,,1,,4,,2,Positiva
reduce,3,,2,,8,,4,,0,0
jab,3,,1,,1,,2,,3,Neutral
deeper,3,,1,,0,,0,,2,Neutral
fauci,3,,0,,5,,1,,1,Neutral
zealand,3,,0,,2,,1,,0,0
increasing,3,,0,,5,,6,,1,Neutral
stats,3,,0,,3,,2,,0,0
surprising,3,,2,,4,,2,,0,0
creator,3,,4,,3,,2,,2,Neutral
disrespect,3,,2,,5,,3,,5,Negativa
extent,3,,0,,3,,0,,2,Neutral
popularity,3,,1,,2,,4,,1,Neutral
blaming,3,,2,,6,,3,,7,Neutral
timely,3,,0,,2,,0,,0,0
yelled,3,,0,,0,,3,,1,Neutral
projection,3,,0,,5,,1,,3,Neutral
cooking,3,,0,,8,,1,,2,Neutral
stroke,3,,0,,1,,1,,0,0
cuz,3,,6,,11,,11,,2,Neutral
redundant,3,,0,,1,,0,,1,Negativa
strike,3,,3,,10,,3,,1,Negativa
closely,3,,1,,3,,5,,2,Neutral
monitor,3,,0,,2,,1,,1,Neutral
vanity,3,,1,,0,,0,,1,Negativa
trucker,3,,0,,1,,0,,1,Neutral
xd,3,,0,,5,,2,,1,Neutral
brand,3,,1,,6,,4,,2,Neutral
controlling,3,,1,,5,,6,,0,0
leg,3,,0,,14,,4,,3,Neutral
steady,3,,0,,4,,0,,1,Positiva
loop,3,,0,,1,,0,,0,0
van,3,,4,,33,,1,,3,Neutral
skip,3,,3,,3,,0,,1,Neutral
mrtrump,3,,1,,0,,0,,0,0
valley,3,,3,,2,,2,,0,0
diet,3,,2,,4,,0,,1,Neutral
square,3,,1,,5,,1,,12,Neutral
smelling,3,,0,,2,,1,,0,0
gather,3,,1,,1,,0,,0,0
grader,3,,0,,0,,4,,1,Neutral
relate,3,,2,,3,,9,,2,Neutral
capable,3,,4,,25,,4,,1,Positiva
hoorah,3,,0,,0,,0,,0,0
salary,3,,0,,4,,1,,1,Neutral
ate,3,,0,,8,,1,,2,Neutral
discus,3,,1,,1,,2,,2,Neutral
shoulder,3,,0,,5,,0,,1,Neutral
burger,3,,0,,2,,1,,2,Neutral
clueless,3,,3,,8,,7,,3,Negativa
watcher,3,,0,,1,,0,,0,0
zionist,3,,4,,58,,0,,1,Neutral
parody,3,,0,,12,,3,,1,Negativa
meal,3,,2,,5,,1,,5,Neutral
served,3,,4,,11,,4,,15,Neutral
peep,3,,0,,1,,2,,0,0
crushing,3,,0,,0,,2,,0,0
logical,3,,5,,4,,0,,0,0
loos,3,,0,,1,,2,,0,0
previous,3,,1,,7,,5,,1,Neutral
leibnitz,3,,0,,0,,0,,0,0
spring,3,,0,,8,,2,,0,0
collection,3,,0,,0,,5,,0,0
puede,3,,0,,0,,0,,0,0
ongoing,3,,0,,4,,3,,0,0
charles,3,,0,,7,,1,,1,Neutral
incarceration,3,,0,,2,,1,,0,0
sentenced,3,,0,,2,,1,,0,0
aiding,3,,1,,1,,0,,0,0
embezzling,3,,0,,2,,0,,0,0
nevada,3,,0,,0,,2,,3,Neutral
hahahahaha,3,,1,,0,,0,,1,Neutral
nursing,3,,0,,30,,3,,0,0
pill,3,,5,,7,,1,,0,0
censored,3,,0,,0,,2,,2,Neutral
expose,3,,1,,5,,2,,0,0
newspaper,3,,1,,2,,0,,2,Neutral
text,3,,2,,4,,3,,2,Neutral
grandparent,3,,0,,6,,0,,2,Neutral
retainer,3,,0,,0,,0,,0,0
terrifying,3,,2,,3,,0,,2,Neutral
shouting,3,,0,,5,,3,,1,Neutral
loony,3,,0,,0,,1,,0,0
looney,3,,0,,1,,1,,0,0
asks,3,,2,,3,,0,,1,Neutral
abroad,3,,1,,9,,0,,0,0
focusing,3,,1,,7,,0,,1,Neutral
jake,3,,5,,1,,1,,1,Neutral
bland,3,,0,,0,,0,,0,0
denied,3,,1,,2,,4,,2,Negativa
hushmoney,3,,0,,0,,0,,0,0
fails,3,,0,,3,,2,,1,Negativa
representation,3,,2,,3,,10,,0,0
downer,3,,0,,0,,1,,0,0
calculation,3,,0,,1,,0,,0,0
admits,3,,1,,3,,3,,1,Neutral
shitty,3,,0,,5,,1,,0,0
admire,3,,1,,9,,5,,2,Positiva
slowly,3,,0,,2,,5,,0,0
insist,3,,1,,4,,1,,1,Neutral
settlement,3,,0,,2,,0,,1,Neutral
prince,3,,0,,6,,2,,1,Neutral
andrew,3,,3,,3,,0,,2,Neutral
suite,3,,0,,1,,0,,0,0
verdict,3,,0,,1,,0,,0,0
roy,3,,0,,1,,0,,2,Neutral
cohn,3,,0,,0,,0,,2,Neutral
lousy,3,,0,,1,,1,,0,0
tanked,3,,0,,0,,2,,1,Negativa
fancy,3,,0,,2,,0,,0,0
celebrity,3,,1,,4,,246,,7,Neutral
stranger,3,,0,,1,,2,,1,Negativa
instinct,3,,0,,1,,0,,2,Neutral
petulant,3,,0,,1,,0,,0,0
vast,3,,0,,11,,1,,0,0
jean,3,,0,,1,,6,,0,0
terrified,3,,0,,11,,3,,0,0
upset,3,,4,,5,,5,,2,Negativa
highlight,3,,1,,1,,2,,2,Neutral
stair,3,,0,,19,,0,,2,Neutral
toughest,3,,0,,2,,0,,0,0
spiritual,3,,0,,4,,3,,0,0
command,3,,1,,1,,1,,6,Neutral
bucket,3,,0,,3,,1,,10,Neutral
boss,3,,1,,4,,8,,0,0
filed,3,,1,,2,,0,,2,Neutral
replace,3,,2,,10,,2,,5,Neutral
newsmax,3,,0,,0,,0,,0,0
judiciary,3,,0,,1,,0,,2,Neutral
tp,3,,0,,0,,0,,1,Neutral
posse,3,,1,,1,,2,,0,0
pregnant,3,,2,,1,,17,,0,0
rage,3,,0,,3,,0,,1,Negativa
overturning,3,,0,,3,,0,,0,0
elderly,3,,0,,16,,2,,2,Neutral
meatball,3,,0,,0,,0,,0,0
crayon,3,,0,,0,,0,,0,0
somewhat,3,,0,,4,,3,,1,Neutral
meditating,3,,0,,0,,0,,0,0
belong,3,,2,,7,,7,,1,Neutral
praised,3,,0,,1,,1,,0,0
merrick,3,,0,,1,,0,,0,0
declining,3,,0,,2,,1,,0,0
span,3,,0,,2,,2,,0,0
cooked,3,,1,,3,,4,,1,Neutral
inability,3,,0,,1,,1,,3,Negativa
cartoon,3,,0,,4,,0,,4,Neutral
rudy,3,,2,,2,,0,,0,0
finding,3,,2,,6,,1,,1,Neutral
confident,3,,0,,3,,2,,0,0
bore,3,,0,,3,,0,,0,0
switch,3,,3,,9,,11,,0,0
alert,3,,0,,4,,0,,1,Neutral
weight,3,,2,,1,,5,,0,0
intentional,3,,0,,0,,0,,0,0
goal,3,,2,,7,,2,,3,Neutral
yell,3,,0,,0,,1,,1,Neutral
discouraging,3,,0,,0,,0,,0,0
somethings,3,,0,,1,,1,,0,0
utter,3,,0,,8,,6,,1,Neutral
weakness,3,,0,,6,,2,,3,Negativa
subject,3,,4,,6,,7,,1,Neutral
abandon,3,,0,,3,,0,,1,Neutral
cellmate,3,,0,,0,,0,,0,0
attractive,3,,1,,1,,1,,2,Positiva
gavin,3,,0,,9,,0,,1,Neutral
magas,3,,2,,2,,5,,2,Neutral
diarrhea,3,,0,,2,,1,,0,0
ghost,3,,1,,3,,1,,1,Neutral
johnny,3,,0,,1,,2,,0,0
butcher,3,,2,,5,,0,,0,0
bullying,3,,1,,3,,3,,3,Negativa
cue,3,,1,,5,,2,,1,Neutral
sloppy,3,,0,,1,,0,,0,0
dumpty,3,,0,,1,,0,,0,0
cart,3,,1,,3,,0,,0,0
vacation,3,,0,,10,,2,,2,Neutral
gravel,3,,0,,1,,0,,0,0
freak,3,,4,,3,,5,,8,Negativa
surgery,3,,0,,10,,5,,8,Neutral
morning,3,,5,,15,,3,,7,Neutral
romneys,3,,1,,0,,0,,0,0
nikki,3,,4,,4,,0,,0,0
initially,3,,0,,2,,1,,0,0
accomplished,3,,1,,19,,6,,3,Positiva
farm,3,,2,,2,,2,,0,0
convinced,3,,2,,7,,7,,3,Neutral
burned,3,,1,,5,,2,,5,Negativa
horror,3,,1,,5,,0,,1,Neutral
promising,3,,1,,3,,4,,1,Positiva
providing,3,,6,,8,,2,,4,Neutral
drank,3,,0,,1,,0,,0,0
unhinged,3,,0,,1,,1,,3,Neutral
sometimes,3,,6,,20,,7,,9,Neutral
permanent,3,,0,,0,,4,,2,Neutral
everyones,3,,1,,5,,2,,3,Neutral
sanity,3,,3,,12,,4,,4,Neutral
fame,3,,1,,0,,3,,2,Positiva
dy,3,,0,,6,,1,,0,0
fn,3,,0,,1,,2,,0,0
unpopular,3,,0,,3,,1,,0,0
filmed,3,,0,,2,,1,,0,0
whatsoever,3,,0,,3,,3,,0,0
fiasco,3,,0,,0,,0,,1,Negativa
haley,3,,3,,7,,0,,0,0
unethical,3,,2,,4,,0,,0,0
dictionary,3,,0,,1,,1,,0,0
mystery,3,,0,,1,,2,,0,0
bloated,3,,0,,2,,0,,0,0
creates,3,,1,,1,,0,,1,Neutral
gang,3,,1,,5,,17,,4,Neutral
mortal,3,,0,,1,,1,,0,0
divided,3,,3,,13,,8,,3,Neutral
drunk,3,,1,,5,,10,,5,Negativa
rapidly,3,,0,,4,,0,,0,0
forth,3,,2,,3,,1,,1,Neutral
minded,3,,3,,6,,5,,4,Neutral
retirement,3,,0,,25,,3,,3,Neutral
comparing,3,,0,,1,,0,,1,Neutral
autocracy,3,,0,,2,,1,,0,0
jill,3,,0,,13,,5,,2,Neutral
pity,3,,0,,5,,1,,0,0
occupied,3,,0,,2,,0,,0,0
ups,3,,0,,3,,2,,1,Neutral
tune,3,,1,,2,,2,,2,Neutral
adding,3,,1,,6,,1,,3,Neutral
charity,3,,1,,1,,0,,2,Neutral
colorado,3,,0,,0,,1,,1,Neutral
defamation,3,,0,,1,,0,,0,0
wasting,3,,0,,4,,3,,1,Negativa
shouldve,3,,2,,6,,3,,1,Neutral
commenting,3,,2,,3,,2,,0,0
ruler,3,,1,,1,,3,,0,0
stood,3,,6,,8,,8,,10,Neutral
invade,3,,1,,10,,0,,1,Neutral
stfu,3,,0,,0,,3,,0,0
totalitarian,3,,0,,2,,0,,0,0
entitlement,3,,0,,2,,1,,0,0
ripped,3,,0,,0,,3,,0,0
enabling,3,,0,,3,,1,,0,0
casually,3,,0,,2,,1,,0,0
admitting,3,,3,,5,,2,,0,0
piper,3,,0,,0,,0,,0,0
marriage,3,,4,,5,,3,,0,0
accomplishment,3,,0,,28,,3,,1,Positiva
favourite,3,,0,,1,,1,,2,Neutral
art,3,,1,,2,,5,,1,Neutral
chapter,3,,3,,0,,2,,0,0
spine,3,,2,,3,,1,,1,Neutral
cliff,3,,3,,1,,1,,1,Neutral
sector,3,,1,,5,,0,,0,0
hello,3,,2,,17,,6,,5,Neutral
mandate,3,,0,,4,,1,,7,Neutral
predicting,3,,0,,0,,0,,0,0
hurting,3,,0,,4,,4,,1,Negativa
laughter,3,,0,,6,,9,,0,0
trumpster,3,,0,,0,,0,,0,0
slide,3,,1,,2,,0,,0,0
mix,3,,1,,10,,9,,3,Neutral
recognition,3,,0,,2,,1,,1,Neutral
root,3,,1,,7,,29,,3,Neutral
idiotic,3,,0,,2,,5,,3,Negativa
seven,3,,2,,3,,1,,0,0
perspective,3,,2,,8,,5,,3,Neutral
instantly,3,,0,,2,,2,,1,Positiva
ship,3,,1,,8,,3,,2,Neutral
placed,3,,1,,8,,5,,1,Neutral
calm,3,,1,,11,,5,,2,Positiva
shenanigan,3,,0,,1,,0,,1,Neutral
pipe,3,,0,,5,,1,,0,0
undercover,3,,0,,0,,0,,1,Neutral
zombie,3,,1,,3,,4,,0,0
conflicted,3,,0,,1,,0,,0,0
dozing,3,,0,,0,,0,,0,0
enters,3,,2,,0,,0,,1,Neutral
sociopathic,3,,0,,0,,0,,1,Neutral
seemed,3,,1,,4,,4,,3,Neutral
although,3,,3,,8,,9,,1,Neutral
propagandist,3,,1,,2,,0,,1,Neutral
alternate,3,,2,,3,,0,,0,0
whitehouse,3,,0,,8,,5,,6,Neutral
tends,3,,0,,0,,1,,0,0
whit,3,,0,,0,,1,,0,0
incite,3,,3,,1,,1,,0,0
pound,3,,0,,2,,1,,2,Neutral
sand,3,,1,,5,,1,,0,0
keon,3,,0,,0,,0,,0,0
garcia,3,,0,,1,,0,,1,Neutral
boycott,3,,0,,3,,3,,3,Negativa
lawn,3,,1,,1,,1,,0,0
fee,3,,0,,12,,0,,2,Neutral
answering,3,,3,,3,,2,,0,0
via,3,,2,,16,,0,,0,0
fk,3,,1,,5,,5,,0,0
season,3,,1,,7,,5,,3,Neutral
suit,3,,9,,14,,10,,0,0
spray,3,,0,,2,,0,,1,Neutral
huh,3,,1,,7,,3,,4,Neutral
quality,3,,7,,6,,7,,1,Neutral
session,3,,0,,1,,0,,1,Neutral
noam,3,,0,,0,,0,,0,0
rumor,3,,1,,1,,2,,2,Negativa
buried,3,,1,,4,,0,,0,0
sock,3,,1,,1,,1,,1,Neutral
version,3,,5,,10,,7,,4,Neutral
deception,3,,1,,6,,2,,0,0
unconditionalperfect,3,,0,,0,,0,,0,0
humility,3,,0,,3,,1,,1,Positiva
storm,3,,1,,2,,1,,0,0
ruining,3,,2,,9,,3,,1,Negativa
neighborhood,3,,2,,3,,11,,4,Neutral
hamas,3,,0,,35,,3,,1,Neutral
nailed,3,,3,,8,,3,,0,0
genuinely,3,,2,,15,,9,,3,Neutral
dope,3,,0,,4,,2,,4,Negativa
joking,3,,0,,5,,3,,4,Neutral
abe,3,,1,,1,,0,,0,0
lincoln,3,,3,,11,,0,,1,Neutral
tank,3,,3,,5,,0,,1,Negativa
exit,3,,0,,6,,1,,0,0
wednesday,3,,0,,0,,2,,3,Neutral
thrown,3,,3,,9,,1,,2,Neutral
rant,3,,0,,6,,3,,1,Negativa
insulting,3,,2,,6,,8,,7,Negativa
particular,3,,1,,2,,3,,3,Neutral
legally,3,,4,,14,,2,,0,0
disbar,3,,0,,1,,0,,0,0
vaccine,3,,0,,9,,7,,6,Neutral
rioter,3,,0,,2,,2,,3,Neutral
northern,3,,2,,0,,0,,2,Neutral
boarder,3,,1,,10,,5,,1,Neutral
boo,3,,1,,4,,5,,1,Neutral
lawsuit,3,,1,,1,,1,,6,Neutral
triumph,3,,1,,0,,6,,1,Positiva
poo,3,,0,,3,,0,,0,0
usage,3,,0,,2,,0,,0,0
indict,3,,0,,2,,0,,0,0
thoroughly,3,,0,,3,,1,,1,Neutral
filing,3,,0,,0,,0,,0,0
bubba,3,,0,,0,,0,,0,0
requires,3,,2,,2,,1,,2,Neutral
pulling,3,,1,,22,,7,,2,Neutral
sickening,3,,1,,7,,5,,5,Negativa
tragic,3,,0,,3,,0,,1,Negativa
fitten,3,,0,,0,,0,,0,0
iq,3,,5,,3,,19,,5,Neutral
fitting,3,,0,,1,,2,,0,0
confirm,3,,1,,3,,1,,0,0
unite,3,,2,,2,,9,,3,Neutral
sociopath,3,,5,,4,,1,,1,Neutral
dahmer,3,,0,,0,,0,,0,0
toss,3,,0,,0,,1,,0,0
math,3,,0,,1,,1,,0,0
irish,3,,1,,15,,21,,2,Neutral
mediacorp,3,,0,,5,,0,,0,0
wei,3,,0,,5,,0,,0,0
yih,3,,0,,6,,0,,0,0
frauding,3,,0,,6,,0,,0,0
theft,3,,0,,6,,1,,1,Neutral
lawrence,3,,0,,5,,0,,1,Neutral
poh,3,,0,,4,,0,,0,0
hock,3,,0,,4,,0,,0,0
guan,3,,0,,4,,0,,0,0
kate,3,,0,,5,,0,,0,0
middleton,3,,0,,5,,0,,0,0
megan,3,,0,,5,,6,,0,0
markle,3,,0,,5,,0,,0,0
vivian,3,,0,,2,,0,,0,0
balakrisnan,3,,0,,2,,0,,0,0
kshanmugan,3,,0,,2,,0,,0,0
sadon,3,,0,,1,,0,,0,0
malay,3,,0,,11,,0,,0,0
funded,3,,3,,7,,4,,1,Neutral
gutless,3,,0,,0,,0,,1,Negativa
lobby,3,,0,,2,,0,,0,0
lgbt,3,,1,,2,,1,,2,Neutral
defending,3,,6,,9,,4,,0,0
ignorance,3,,3,,3,,4,,5,Negativa
whilst,3,,0,,4,,2,,1,Neutral
october,3,,3,,3,,3,,4,Neutral
ignored,3,,1,,4,,5,,1,Neutral
cure,3,,0,,3,,3,,0,0
sc,3,,0,,2,,1,,1,Neutral
innocence,3,,1,,1,,0,,2,Neutral
sooo,3,,2,,2,,2,,3,Neutral
sa,3,,0,,4,,1,,0,0
whomever,3,,1,,2,,1,,1,Neutral
argue,3,,0,,6,,2,,0,0
negatively,3,,1,,1,,0,,0,0
produce,3,,2,,6,,8,,0,0
lowering,3,,0,,3,,1,,0,0
historic,3,,3,,2,,4,,2,Neutral
fetched,3,,0,,0,,0,,1,Neutral
stone,3,,2,,2,,17,,1,Neutral
austin,3,,0,,0,,0,,0,0
buffoon,3,,0,,5,,5,,1,Neutral
bash,3,,0,,1,,2,,2,Negativa
increased,3,,3,,8,,4,,7,Neutral
astounding,3,,0,,2,,0,,1,Positiva
ten,3,,0,,16,,11,,0,0
gary,3,,1,,0,,0,,0,0
recognize,3,,0,,8,,5,,2,Neutral
amazes,3,,1,,1,,0,,0,0
wheel,3,,0,,7,,1,,2,Neutral
thief,3,,1,,4,,9,,1,Neutral
lovely,3,,6,,2,,17,,5,Positiva
throwing,3,,2,,9,,6,,5,Neutral
flock,3,,1,,4,,3,,0,0
knuckle,3,,0,,1,,1,,1,Neutral
stretch,3,,0,,3,,0,,0,0
candy,3,,2,,1,,4,,3,Neutral
assange,3,,0,,2,,0,,0,0
catching,3,,1,,0,,1,,2,Neutral
goodness,3,,4,,9,,9,,3,Positiva
fucked,3,,0,,6,,6,,0,0
economics,3,,5,,1,,7,,3,Neutral
adulterer,3,,1,,0,,1,,0,0
progressive,3,,0,,19,,4,,10,Positiva
vomit,3,,1,,0,,1,,0,0
longest,3,,0,,2,,1,,0,0
ridiculously,3,,0,,1,,0,,2,Negativa
talent,3,,2,,3,,5,,3,Positiva
crackhead,3,,0,,1,,0,,0,0
inmate,3,,0,,1,,1,,1,Neutral
jurisdiction,3,,0,,0,,0,,0,0
condemned,3,,0,,2,,1,,0,0
yah,3,,0,,1,,3,,0,0
desire,3,,3,,1,,2,,1,Neutral
unconscionable,3,,1,,0,,0,,0,0
entry,3,,2,,4,,0,,0,0
overcome,3,,0,,4,,1,,1,Neutral
iam,3,,0,,6,,1,,0,0
pair,3,,1,,4,,2,,2,Neutral
farce,3,,0,,2,,0,,1,Negativa
bastard,3,,2,,3,,2,,1,Negativa
inheritance,3,,0,,0,,0,,0,0
huddled,3,,0,,0,,0,,0,0
straw,3,,1,,1,,2,,0,0
forbid,3,,2,,2,,0,,4,Negativa
turd,3,,1,,2,,2,,1,Neutral
cheek,3,,0,,2,,1,,0,0
fec,3,,0,,0,,0,,0,0
lbj,3,,0,,1,,0,,0,0
beaten,3,,0,,2,,1,,0,0
slick,3,,2,,1,,0,,1,Positiva
avoiding,3,,0,,1,,2,,0,0
az,3,,0,,0,,0,,2,Neutral
yank,3,,0,,2,,0,,1,Neutral
granted,3,,1,,1,,2,,1,Neutral
bizarre,3,,3,,2,,1,,3,Negativa
nixon,3,,2,,6,,0,,3,Neutral
recovered,3,,0,,1,,1,,0,0
thug,3,,0,,3,,2,,1,Negativa
submitted,3,,0,,0,,1,,0,0
bashing,3,,2,,7,,4,,1,Negativa
phony,3,,3,,3,,11,,11,Negativa
tshirt,3,,0,,0,,2,,0,0
enjoys,3,,0,,0,,0,,0,0
targeted,3,,0,,2,,2,,0,0
beg,3,,1,,1,,0,,2,Negativa
bud,3,,0,,1,,0,,0,0
maxwell,3,,0,,0,,0,,0,0
epstein,3,,1,,6,,27,,2,Neutral
rom,3,,3,,0,,0,,0,0
uniting,3,,0,,0,,0,,1,Neutral
easiest,3,,0,,2,,0,,0,0
limitation,3,,1,,0,,0,,2,Negativa
improve,3,,1,,9,,6,,0,0
pie,3,,1,,1,,0,,2,Neutral
hook,3,,0,,1,,2,,0,0
flower,3,,0,,0,,0,,0,0
solved,3,,0,,1,,0,,0,0
excellent,3,,5,,31,,17,,3,Positiva
rewrite,3,,0,,0,,1,,0,0
completed,3,,0,,2,,2,,0,0
included,3,,0,,3,,1,,3,Neutral
application,3,,0,,3,,0,,1,Neutral
rep,3,,3,,14,,1,,4,Neutral
escape,3,,1,,7,,1,,0,0
complains,3,,1,,0,,2,,0,0
appoint,3,,0,,1,,0,,0,0
crimea,3,,0,,0,,0,,1,Neutral
nationalist,3,,3,,1,,1,,1,Neutral
boggling,3,,0,,0,,0,,0,0
gay,3,,6,,9,,5,,62,Neutral
priority,3,,2,,6,,1,,2,Neutral
map,3,,0,,5,,0,,1,Neutral
discipline,3,,0,,1,,1,,0,0
remembered,3,,0,,6,,1,,1,Neutral
laughed,3,,1,,5,,5,,4,Neutral
allegation,3,,0,,1,,0,,4,Negativa
netanyahu,3,,3,,21,,1,,3,Neutral
